title,company,location,description,link
Data Scientist,exactEarth Ltd.,"Cambridge, ONTemporarily remote"," Collaborate with all stakeholders in the company, in particular, Business Development, Sales and Marketing and Product Management to mine, clean, analyze and provide insights into data based on internal and external customer requests. 
 Understand the data pipeline and its many derived products and services. 
 Create and maintain internal and external customer analytic reports and create professional presentations for internal and external end users 
 Revise and troubleshoot work with the Software Development team and Customer Support as required. 
 Five or more years’ experience in Java/Python 
 Three or more years of data analysis experience using Pandas or R 
 Three or more years’ experience working with traditional relational database preferably PostgreSQL 
 One or more years’ experience in big data technologies such as Hadoop and Spark 
 Experience with spatial data processing 
 Experience using Jupiter Notebook 
 Experience in data visualization and interpretation using platforms such as Tableau or equivalent 
 Experience developing on the Linux operating system 
 Team player, enthusiastic, willing to learn and capable of working in a fast, dynamic environment 
 Excellent interpersonal skills along with excellent verbal, writing and presentation abilities 
 Ability to manage multiple competing priorities 
 Ability to work with minimal oversight with an inquisitive mindset 
 Experience with Spark MLlib, sci-kit learn and/or TensorFlow 
 Understanding of Automatic Identification System (AIS) data 
 Understanding of Maritime applications and services 
 Power-user capabilities with the Linux operating system 
 Capable of using a distributed version control system such as GitLab 
 Competitive salary and benefits 
 Casual dress 
 Company events 
 Dental care 
 Disability insurance 
 Employee assistance program 
 Employee stock purchase plan 
 Extended health care 
 Flexible schedule 
 Life insurance 
 On-site parking 
 Paid time off 
 RRSP match 
 Vision care 
 Work from home 
 Monday to Friday 
 data analysis using Pandas or R: 3 years (Required) 
 Jupiter Notebook: 1 year (Required) 
 relational database such as PostgreSQL: 3 years (Required) 
 spatial data processing: 1 year (Required) 
 Java: 5 years (Required) 
 Python: 5 years (Required) 
 Linus OS: 1 year (Required) 
 data visualization & interpretation: 1 year (Required) 
 big data technologies such as Hadoop and Spark: 1 year (Required) 
 Spark MLib, sci-kitlearn and/or TensorFlow: 1 year (Preferred) 
 AIS data: 1 year (Preferred) 
 Temporarily due to COVID-19 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DAKgbPP6rpncJmLFnZkcg7hnK1fs3KFArEXBdwRHIoXDRvLnmNvZ1o_ZpTNtKNZSTKHVvEM9bgdI8Z4jfIQmvpbPY9JzfERr3LW7r2B2WdODld0g93eD-nsO3-sSX9lBGwRbyk4chiHIXpfXXpudYZyKGHBA7O02K6ks5pEo1c3pIjTIlqGTZ_qJkMOObVS7aaaCE27P2aXLJZzGaMRS28iAI9OzMXTHVwhunmh-PCtA2imS3XKaQ6nQZ3_aZNAsXkjdB1qeOLyY-y1m1XHXCg13fbbKOS8vTtAeiczo78TuMnhdFe_thudARn7ucC6VuXZDnM8DPnyQKCn8rhf-zSsc9-nEfybtO-GOlkX5Kx8Ug9FHKOO0_mSmCusuzoBUcyNZ0GahIJeqaMh6CLYcZCDfFB8QMdCafGhpEyGA0aLri_xXRMCWj5&p=0&fvj=1&vjs=3
Machine Learning Engineer,Boast.AI,"Toronto, ONTemporarily remote"," Fullstack development of AI features and applications in various areas of the Boast.AI platform 
 Identify appropriate models to be used and improve model accuracy for the Boast.AI platform 
 Participate in the product definition, especially around the aspects of AI, attempting to translate complex business requirements into concrete technical solutions 
 Bachelor's degree in Computer Science, related technical field or equivalent practical experience 
 5+ years of experience developing Machine Learning or Artificial Intelligence features and applications in the SaaS software and/or fintech space 
 5+ years of fullstack software development experience 
 Experience with one or more of the following: Natural Language Processing, text understanding, classification, pattern recognition, recommendation systems, targeting systems, ranking systems or similar. 
 Experience with one or more general purpose programming languages including but not limited to: Python, Scala, Java, C, C++ 
 Knowledge of software engineering best practices across the development lifecycle, including agile methodologies, coding standards, code reviews, source management, build processes, testing, and operations 
 Effective written and verbal communication skills 
 Demonstrated problem-solving skills 
 Ability to work unsupervised, in the office or remote as part of a distributed team and be able to produce high quality work 
 MS or Ph.D. degree in Computer Science, Artificial Intelligence, Machine Learning, or related technical field. 
 Experience with Google Cloud architecture and products 
 Experience with one or more frameworks such as Tensorflow, Keras, Apache Beam, Spark 
 Demonstrated leadership and self-direction. Willingness to teach others and learn new techniques. 
 Python proficiency 
 Interest and ability to learn other coding languages as needed 
 Competitive salary + benefits 
 Flexibility in your workplace – you have the option to work from our downtown office or from home 
 Open and transparent management structure – collaboration is how we make decisions happen 
 Career growth within this role, including leadership and product innovation opportunities 
 Software development : 5 years (Preferred) 
 Machine Learning: 3 years (Preferred) 
 python: 5 years (Required) 
 Bachelor's Degree (Preferred) 
 Temporarily due to COVID-19 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AmU_6Ck02_vvL6KV9wtnJ-CwUT9JezEHjmUrnh2V-rVc-7Gkp3lWIMvK_4oVDBqh8HWsowYLQm_KxfH01PZjZpKh9Ya5WVuuOYg-AkyxzMiub4DT22UmZleeKymDpzov3EHPUbCWJnsJNqXOAXBojoxQtBng2Aewh6zX4UcpLXw4RDYBHwm4dzMt9B392-vfq8nNxoRpW_8jO2DwUhpi1uauSttG2P1as0ljG13xFD6hqdD0vAPY2dqpdVkCqHYeYUPcyjD_w6x5I82e-v4yhZ3fH7iukBz2na9O_44AHuEaWGu8xufrcjej6q1M7osm5rIQulw13qn-R3KaZueGc5otNpcyJmBPlgJNo289EqTwqU0UQ_yEFsCyXKeDxzSU-3giDanzvJS9fwMoRWVCX3Saj4-7yojcBVU98TJECHi8wZ1nBoIwlyEubE8qxinllE8XSy3kOecQ==&p=1&fvj=1&vjs=3
BHJOB15656_15424 - Data Scientist,Myticas Consulting,"Ottawa, ON"," Applying modern software development practices, you will be involved in the entire software development lifecycle, building, testing and delivering high-quality solutions 
 Working in a collaborative team-oriented environment, you will share information, value diverse ideas, partner with cross-functional and remote teams 
 With a strong sense of urgency and a desire to work in a fast-paced, dynamic environment, you will deliver solutions against strict timelines 
 You are empowered to try new approaches and learn new technologies. You will contribute innovative ideas, create solutions, and be accountable for end-to-end deliveries 
 Through dynamic engagement and communication with cross-functional partners and team members, you will effectively articulate ideas and collaborate on technical developments 
 Have a deep understanding and experience with NLP, creating deep learning and machine learning models, and hands-on experience in one or more programming languages (Python, Java, JavaScript, etc.) 
 Understand API development and best practices 
 Have experience working in an Agile environment 
 Demonstrate proficiency in automation, system monitoring, and cloud-native applications, with familiarity in AWS or Azure (or a related cloud platform) 
 Have academic and/or industry experience in building machine learning models and/or systems with the ability to translate the latest research papers into implementations addressing our use cases 
 Are curious, adaptable learner, empathetic and can teach & lead others 
 Have a desire to positively impact the world around them and someone who isn't afraid to dive right in, is comfortable working independently at a fast pace, embraces change, and can creatively pivot when needed 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bt274jo0r_e0cCCqhskoQvohXG3bfDAo8rIdE-Msu3yuVfyF2oiDFKHFOU-vxVulAlbDqgrZgGEUNm7V2EdtXu2OJ5OBr9MXw5lYXF5yF6IVzrEfoXDEatxtY7fWuXXWmDsvimIVP8toC87MPpbmPGkcIMm4vw7bLywHp2wrh0bE3BirsBF9re8r-ka4VJVwfH3MA_6yjq7avUP4fJ3EnL7rySrBy7RhZSYKWQX4g0QHmQt9rOzlAipQqG5gHKSCzVlgJDluAzzPZHBOVqbXzpbaL90Ws0cwEyBueTzLA9_vpsJTOztYizokU4WLGXJKiD3wdBzbGZNl1lYiJz5hLFAi6P4DXXoXTMhLvn4PWMJ8DDUI6bIjkyWUTuvjg4GD2_w8RikUJkCABnoLgIZ8cY&p=2&fvj=0&vjs=3
"Data Scientist, Sales & Customer Success",Prodigy Game,"Oakville, ONTemporarily remote"," 
Our Data and Sales / Marketing teams are scaling rapidly as we continue to hit our product and growth milestones! The work you do here, will aid the educational advancement of millions of students. You will have the chance to apply your analytics skills to not only help kids learn but also help our marketing team to make better decisions. 
 
We are looking for a sales analytics and applied stats expert to join our growing team. As we scale our sales efforts, the team will be looking to you for insights on the effectiveness of initiatives, and opportunities for optimization and growth. You will have the chance to apply your sales analytics expertise to add real strategic value and ensure that we are asking and answering the right questions. 
 
Collaborate with data scientists, data engineers, and team leads to create solutions which will directly affect Prodigy’s growth. 
 
Help our sales team explore, analyze, and understand their data to help make business and investment decisions. 
 
Benchmark performance across sales areas and inform optimization based on performance analysis. 
 
Improve data visibility by building dashboards and charts to inform strategy, and capture market and user insights. 
 
Implement analytics and data tracking best practices. 
 
Work with the sales, marketing, and data teams to improve data quality to provide high quality insights and recommendations. 
 
Help design, execute, and evaluate experiments (e.g., A/A, A/B, multivariate tests etc). 
 
Help translate educational value experiments into case studies. 
 
Communicate insights, analysis, and recommendations clearly and accurately to stakeholders with a variety of technical and non-technical backgrounds. 
 
At least 2 years demonstrated analytics experience, including B2B sales and revenue analytics. 
 
Expert skills and knowledge of SQL. 
 
Proficiency in Python (bonus points for R). 
 
Expertise in working with various BI platforms (Tableau, Looker, Periscope). 
 
Experience with sales and attribution modelling. 
 
Experience working with A/B testing and experimentation. 
 
Applied statistics expertise and experience. 
 
Passion and persistence for solving hard problems, balancing speed and depth for greatest value. 
 
Ability to work simultaneously on different projects with a variety of timelines. 
 
Ability to translate data insights into actionable steps. 
 
A team and customer centric mindset. 
 
Love for our mission of helping kids everywhere enjoy learning. 
 
Experience in cloud ecosystems and their data tooling (AWS, GCP). 
 
Experience with Spark. 
 
Demonstrated ability to solve hard mathematical, algorithmic, and statistical problems. 
 
Experience with model building, especially within sales analytics. 
 
Experience working with end to end user journeys. 
 
Writing statistically sound case studies. 
 
Significant accomplishments that required both technical and strategic capabilities, such as research projects, open-source software contributions, and entrepreneurship. 
 
The opportunity to build a career of value and witness first hand the impact Prodigy has as the most engaging math platform in the world! 
 
A culture of transparency, where team members are involved in important conversations 
 
No micromanaging here! We believe in our employees skills and abilities, we encourage you to bring new innovative ideas to your team 
 
Full health benefits from day one (1) for you and your family, fully covered! Nothing is ever taken off your pay cheque 
 
We are a profitable company, with eligibility to participate in stock options for all employees 
 
Late or early riser? We understand! We offer flexible working hours that allow you to schedule your 8 hour day with a bit more flexibility. We do have core office hours, to ensure team members can be present for important meetings and department needs. Our core office hours are 10:30am - 3:00pm 
 
Virtual trivia 
 
Zoom meditation, stretching, and fitness sessions 
 
Daily remote challenges via Slack 
 
Virtual “Prodigy Prepares” cooking series featuring our very own employees! 
 
Remote work employee budget for things like home office equipment etc. 
 
Feel like a different work environment? Work from home 1x a week! 
 
Team building events that not only include you as a Prodigy employee, but your significant other and children as well 
 
Company pizza lunch every second week for ‘All Hands’, where we discuss important Prodigy milestones 
 
Do you need some fun to help break up your day? We have that covered! Join in some Ping Pong games, Smash Bros competitions or board games! 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CyK--AGwHVJM38gjCgoUUzKbXZ0LaePQ99gWayKepyPDPmtEaB6J0Z0EoXtwsbwHbDTI9Cut6djRpTniwVpRFaNT6iFWf_TL3H3c2tS43KSucbtenaQ-GaZa-GdidVBU8R0gg5-FnIZKz14fAaHILyAXW6kvqdvldq3lnVhWrY82JUP2l0BV-DePU2VPA4SpsCzv-1zRmclrd36XpncAOXLuVWwVElhWppeOVlgUDQHYkj4nUmT7xPnVZjbO4ZhlW8jSLR6x46FPWJQNd8HJ0Xqv58_wQFXDQwgByxb5P7Z8dzkO5983pacb_l2qxKq9IMeu4ynFsk7wbqCfky-_eswULv94FLZ-7sxHIzrtj5Jyn_-YtBy2rpmstLnfGEOa_qr1Gw-OUrAYSTs3xm3aYPpxn55OrZC4uv22I2lj6YJ5NIZdVXg5uCNacQwDBjM56DxiWKCn1pAZw804mmFyeEhtqSpG9Cqzoakb1CmMcf1FMpUemdZY0G5sWuAiN0hhTb5Zz8HS6l8DKXlo-0sUv0RpnOUF3RoCu3TQK-0rqBZdElCFaMZDOK8Re6uNC8Keo=&p=3&fvj=0&vjs=3
Data Scientist,Just Order Enterprises Corp. (饭团),"Burnaby, BC"," Interpret, evaluate, and interrelate research data and develop integrated business analyses and projections for incorporation into strategic decision-making. 
 User Behavioral Analytics. Research and analyze user flows, funnels, activation, retention, and qualitative feedback to derive insights and themes and present opportunities to the Product team 
 Build data analysis products with user documentation, such as self-serve and on-demand reports, dashboards, and other BI tools 
 Work closely with business units and Product Managers to understand their analytical needs, and enable stakeholders across the company to use data efficiently and effectively 
 Bachelor’s degree related to Computer Science, Statistics, Applied Mathematics 
 Have 2+ years of working experience in a data analysis or similar role 
 Experience with programming languages such as Python, Java, SQL, etc… 
 Experience with various BI tools, e.g. Power BI 
 Strong analytical and problem solving skills 
 Excellent communication skills, ability to clearly explain technical terms to non-technical audience 
 Java/JavaScript is an asset 
 Fluent in Mandarin 
 业务数据监控及分析:通过数据监控,分析各项影响产品提升与增长的因素,给出建议或产品优化方案,驱动业务快速迭代发展; 
 平台用户行为数据分析:通过规范化的用户埋点事件,收集并处理用户行为数据,对用户行为挖掘及活跃用户分析,搭建指标体系,以及增长分析模型,并洞悉平台产品的问题,提出改进意见; 
 与产品/运营/研发等配合,推进优化方案落地执行,带来业务的实际提升增长。 
 本科及以上学历,计算机、数据科学相关专业; 
 2年+数据分析工作经验; 
 熟练掌握Python、Java、SQL等; 
 了解常用的统计和分析方法,掌握 Tableau/Power BI等BI可视化工具; 
 有相关行业数据分析经验、数据建模分析经验者优先; 
 掌握Java, JavaScript优先 
 能快速理解业务,发掘业务细节和数据之间的联系; 
 沟通交流能力强,工作严谨。 
 data analysis: 2 years (Required) 
 Bachelor's Degree (Required) 
 Mandarin (Required) 
 No 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D7h27HtCwsESObZ9Svevt6QKp9_qA7YrCX1YuK6v_MCqXZ8Kyfbg5fxKeMCs0rq5a_bHZEDyD04l557mClBQpGLipW_IdI_qEGWceMPprL2YA0hnKlilBRa3H8wX4ID8NGiI_PAs4X0OTpNN1Mu0zSKkvj2QVN63RPmFACwpnG3f37uh6k2QqDskae6e5uZj8xTaXDR7zkozDBlHvhhnxP8RHnVft0ETNShFSGAnXtSTeRoBbh9hkYCwONxErZas7YL-egog7wfHpUbjZMoAG5OC6vdxpnCWMMOUYVo8IDHzTntqZ9xs2MY7A_VATnm2s8V-ye1ECoX4N60vRyV5nMSVcI7aPE6nsjLmJ8bGJeYyugrpnA77I_yQZRYDQ4GbpW3NWTsr1V3DT9IPiXDmheIgfNgbnzO8K15DtXmmDasbOJIrIXgS9w7EGxcSitQ_4=&p=4&fvj=1&vjs=3
"Data Scientist, Game",Prodigy Game,"Oakville, ONTemporarily remote"," 
What makes an educational product engaging for children? Is there a way to genuinely make learning fun, finding a balance between an immersive gaming experience and improving your grasp of an academic topic? How do we identify moments of frustration and failure in a student's learning progression through their in-game behavior, and select the most effective gamified intervention for levelling up a student's abilities? Here at Prodigy, our Game team is busy trying to answer these and other similar questions about how to best gamify math. We are working on new and interesting approaches to model our players (i.e., students), specifically in the intersection of learning and gaming. Your work will help us to improve our game and by extension how our students learn. The work we do at Prodigy can help shape a student's learning path early in life, and we take that very seriously and hope you will too. 
 
Help our Game team better understand how users engage with our product 
 
Evaluate the quality and impact of game features for current and upcoming products 
 
Develop and evaluate models related to our game, improving user engagement and the quality of our product 
 
Help design, execute, and evaluate experiments (e.g., A/A, A/B, multivariate tests) to assist our Product teams in developing our game 
 
Graduate degree in Educational Data Mining, Mathematics, Computer Science, Engineering, Neuroscience, Psychology, Behavioural Sciences, or related fields 
 
Research-level expertise in analyzing how games and / or how children learn 
 
At least 2 years of data analytics experience 
 
Proficiency in Python and SQL (bonus points for R) 
 
Experience working with machine learning algorithms and / or cloud platforms like AWS 
 
Ability to oversee and work simultaneously on different projects with a variety of timelines 
 
Ability to translate data insights into actionable steps 
 
Love for our mission of helping kids everywhere enjoy learning 
 
Experience in cloud ecosystems and their data tooling (AWS, GCP) 
 
Experience with Spark 
 
Demonstrated ability to solve hard mathematical, algorithmic, and statistical problems 
 
Significant accomplishments that required both technical and strategic capabilities, such as research projects, open-source software contributions, and entrepreneurship 
 
The opportunity to build a career of value and witness first hand the impact Prodigy has as the most engaging math platform in the world! 
 
A culture of transparency, where team members are involved in important conversations 
 
No micromanaging here! We believe in our employees skills and abilities, we encourage you to bring new innovative ideas to your team 
 
Full health benefits from day one (1) for you and your family, fully covered! Nothing is ever taken off your pay cheque 
 
We are a profitable company, with eligibility to participate in stock options for all employees 
 
Late or early riser? We understand! We offer flexible working hours that allow you to schedule your 8 hour day with a bit more flexibility. We do have core office hours, to ensure team members can be present for important meetings and department needs. Our core office hours are 10:30am - 3:00pm 
 
Virtual trivia 
 
Zoom meditation, stretching, and fitness sessions 
 
Daily remote challenges via Slack 
 
Virtual “Prodigy Prepares” cooking series featuring our very own employees! 
 
Remote work employee budget for things like home office equipment etc. 
 
Feel like a different work environment? Work from home 1x a week! 
 
Team building events that not only include you as a Prodigy employee, but your significant other and children as well 
 
Company pizza lunch every second week for ‘All Hands’, where we discuss important Prodigy milestones 
 
Do you need some fun to help break up your day? We have that covered! Join in some Ping Pong games, Smash Bros competitions or board games! 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CyK--AGwHVJM38gjCgoUUzKbXZ0LaePQ99gWayKepyPDPmtEaB6J0Z0EoXtwsbwHa00tFKn9bbLie_n2YMrCV_sV-58mBijswoAh8DIiwQ-FPsHYc7Tv-EY6Mt-T9Pkj-tOEgtpCXmbc31QxaarWaDx6HZcw9SHc-c_IznENs9GeQzc75VlgvnKdVH0m8X0WNW9eYvXKYJT_Zh00k6AKv7VhXyOiE5GKWkREhAEiyQ0s1Kxcp9re1JeRrKIMLn4F7sYZoa5f7jm18OVYGf9sbfDotKNZUZGsIkGasJYvqrNqNSqMDR029QFE0Yye_O1uit9zD9HDZysT1Spoc_89gtoUg_yU2CRZIoAepzBCUx0qEcQw3-gbPm-To_jUIKd_fzsdV3Bgl_VpYJ7typqMfQF7oBEWv6APmLDaQFbM0qau-_TPcyYD5V4YafNmTTCMwkZn9BASvmWhrCFblYjb-ubQ_sUtMSMwdSDRGpzLMwh7p9jFJEpEyQTWBGzVQQ3CMdkABO4NG-Cujx-jsrqQKBb8n0OpHKTVFXVYAqmGVJOybuqyfiDsSEXwkKQp6Btsg=&p=5&fvj=0&vjs=3
Data Scientist,A4 Systems Corporation,"Calgary, AB"," Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions. 
 Mine and analyze data from company databases to drive optimization and improvement of product development. 
 Assess the effectiveness and accuracy of new data sources and data gathering techniques. 
 Develop and test custom data models and algorithms to apply to data sets. 
 Develop testing framework and test model quality. 
 Process large amounts of structured and unstructured data, including integrating data from multiple sources. 
 Design experiments and collect data for the purpose of deriving data analytics insights and solutions 
 Experiment with multiple Best Fit algorithms 
 Coordinate with different functional teams to implement models and monitor outcomes. 
 Develop processes and tools to monitor and analyze model performance and data accuracy. 
 Bachelor’s Degree in Computer Science or another quantitative field 
 Min. 5 years of experience manipulating data sets and building statistical models 
 Strong problem-solving skills with an emphasis on product development. 
 Experience using statistical computer languages (Python, SLQ, etc.) to manipulate data and draw insights from large data sets. 
 Experience working with and creating data architectures. 
 Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks. 
 Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications. 
 Experience working with Big Data 
 Excellent written and verbal communication skills for coordinating across teams. 
 A drive to learn and master new technologies and techniques. 
 Familiar with the following software/tools: 
 Coding knowledge and experience with several languages: C, C++, Java 
 JavaScript, etc. 
 Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc. 
 Experience querying databases and using statistical computer languages: Python, SLQ, etc. 
 Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc. 
 Experience with distributed data/computing tools: MySQL 
 Experience visualizing/presenting data for stakeholders 
 Interest in predicting trends and identifying patterns 
 Strong investigative and observation skills 
 Critical thinking 
 Casual dress 
 Company events 
 Flexible schedule 
 On-site parking 
 8 hour shift 
 Machine Learning: 5 years (Preferred) 
 Big Data: 5 years (Preferred) 
 No 
 ",https://www.indeed.com/company/A4-Systems/jobs/Data-Scientist-8fc11ebe6b4bfb2e?fccid=6ab3be9937bcbd63&vjs=3
Tech - Data Analyst,Exiger,"Toronto, ON"," 
Implement use case requirements from clients and/or client services. 
 
Execute project plan within assigned time estimates and communicate roadblocks/delays as they arise. 
 
Follow up with various teams to co-ordinate applicable functional deliverables ensuring quality and timeliness. 
 
Prepare data for submission and review results for accuracy and appropriate client use case. 
 
Prepare high quality materials for delivery to the client. 
 
Understand data quality concepts to assess incoming client data. 
 
Support the broader Data Services team as required. 
 
ETL and Data Pipeline Optimization preferred 
 
Data Wrangling 
 
Data Management and Data Quality 
 
Business Analysis 
 
Client Consultancy and Delivery 
 
Communication with Stakeholders 
 
Strong command of the English language 
 
Post-secondary education in Data Science, Computer Science or Management Information Systems, or equivalent professional experience. 
 
Experience in scripting languages such as Python, VBScript, etc. 
 
Experience with SQL-based databases. 
 
Experience with Excel and VBA. 
 
Superior communication skills. 
 
Proven ability to quickly learn and adapt to a dynamic environment. 
 
Previous experience within the financial services sector is beneficial. 
 ",https://www.indeed.com/rc/clk?jk=cac146cf97f5cb7d&fccid=b7a753ea1f841879&vjs=3
Jr. Data Analyst,Tandempark Inc.,"Innisfil, ON"," 8 hour shift 
 Data Analysis: 1 year (Preferred) 
 No 
 ",https://www.indeed.com/company/Tandempark-Inc./jobs/Junior-Data-Analyst-411611feae64aa08?fccid=02b67d6a25be57c8&vjs=3
Remote PT Data Science Mentor,Lighthouse Labs,"Toronto, ONTemporarily remote"," A consistent time commitment that works around your current job/ freelancing gigs/ side projects/ startup. (We want you to keep working in the industry and contributing to the community!) 
 Working alongside our community of 200+ tech professionals who mentor with us while also working at leading companies and startups 
 Hourly compensation varies depending on experience and program fit 
 Minimum 2 years of professional experience in software development (focus in web development) or data science 
 Looking for experience in all popular technologies in Web Development and Data Science (from Javascript to Wordpress - Python to Excel) 
 More examples include but are not limited to;
HTML, CSS, Javascript, Ruby/Rails, Python, Java, Scala, Golang, Elixir, Java, Scala,jQuery, Rails, React, NodeJS + (Express or Koa), Django, , MeteorJS, Elixir + Phoenix, Scala, AngularJS, Ember, R, Jupyter Notebooks, Tableau, Excel, AWS, MySQL, jira, Flutter, Firebase, TypeScript, Apollo, GraphQL, PostgreSQL, MongoDB
 
 HTML, CSS, Javascript, Ruby/Rails, Python, Java, Scala, Golang, Elixir, Java, Scala,jQuery, Rails, React, NodeJS + (Express or Koa), Django, , MeteorJS, Elixir + Phoenix, Scala, AngularJS, Ember, R, Jupyter Notebooks, Tableau, Excel, AWS, MySQL, jira, Flutter, Firebase, TypeScript, Apollo, GraphQL, PostgreSQL, MongoDB 
 Have strong sense of open source development workflows using tools such as Github and Project Management tools 
 Teaching/mentoring/tutoring experience is an asset 
 ",https://www.indeed.com/rc/clk?jk=3e630b84722fdfda&fccid=6f3cdaca3f302315&vjs=3
